id,title,content,brief,target,type
70014,Gold Exchange,"    Zhou Shan was born, the second coming troubled times, the world around perplexity born, tiger same properties can be obtained in line with four for a higher level of perplexity.","    During the mission is on, players can use the [four] Silver Charms Charms exchange a [gold]. 16-20 Silver Charms layer of mountains blessed [] in the low probability of falling.",Satin gold exchange,6
70016,Crystal diamond exchange,"    Zhou Shan was born, the second coming troubled times, the world around perplexity born, tiger same properties can be obtained in line with four for a higher level of perplexity.","    During the mission is on, players can use the [four] exchange a gold Charms Charms [crystal diamond]. [Gold Charms] through [task by four Silver Charms] exchange from.",Gold crystal diamond exchange,6
70018,God made convertible,"    Zhou Shan was born, the second coming troubled times, the world around perplexity born, tiger same properties can be obtained in line with four for a higher level of perplexity.","    During the mission is on, players can use the [four] Charms crystal diamond exchange a god emperor [That]. [Crystal diamond] can Charms task by four [gold] convertibility Charms come.",Imperial diamond exchange,6
10031,CPIC,"    Under party chaos today, princes and play. Cheng Tang is no way, after all, six hundred years Foundation, the strength of powerful; Zhou Ren Ming room, when interest should be shipped, but can not change is the princes started, strength weaker. The two sides battle eventually have accumulated external help. To prove his strength, his assistant, a party king will accomplish something brilliant.","     Obtained through official tribute treasures. CPIC official reached, city (including sub-city do not include city) inner city building level cap increase 5.",Enhance office,1
58070,Training world,"    Soldiers who, fundamental foundation of a nation. Battle of soldier, invincible. No matter who is handsome and poor training are as diligent attempt to settle down for the country, it seems the wilderness outside the city can not meet the demand, and this time blessed Spirit Mountain is a good place to go.
","    Spirit Mountain blessed explore the challenges layer 9, for prestige and booty, to complete the task this series will have an extra surprise for you! This series of tasks daily at 1:30 update.",CPIC daily,7
58071,Training world,"    Soldiers who, fundamental foundation of a nation. Battle of soldier, invincible. No matter who is handsome and poor training are as diligent attempt to settle down for the country, it seems the wilderness outside the city can not meet the demand, and this time blessed Spirit Mountain is a good place to go.
","    Spirit Mountain blessed explore the challenges layer 10, for prestige and booty, to complete the task this series will have an extra surprise for you! This series of tasks daily at 1:30 update.",CPIC daily,7
58072,Training world,"    Soldiers who, fundamental foundation of a nation. Battle of soldier, invincible. No matter who is handsome and poor training are as diligent attempt to settle down for the country, it seems the wilderness outside the city can not meet the demand, and this time blessed Spirit Mountain is a good place to go.
","    Explore the challenges of mountains blessed the 11th floor to get the prestige and booty, to complete the task this series will have an extra surprise for you! This series of tasks daily at 1:30 update.",CPIC daily,7
58073,Training world,"    Soldiers who, fundamental foundation of a nation. Battle of soldier, invincible. No matter who is handsome and poor training are as diligent attempt to settle down for the country, it seems the wilderness outside the city can not meet the demand, and this time blessed Spirit Mountain is a good place to go.
","    Spirit Mountain blessed explore the challenges layer 10, for prestige and booty, to complete the task this series will have an extra surprise for you! This series of tasks daily at 1:30 update.",Tutor daily,7
58074,Training world,"    Soldiers who, fundamental foundation of a nation. Battle of soldier, invincible. No matter who is handsome and poor training are as diligent attempt to settle down for the country, it seems the wilderness outside the city can not meet the demand, and this time blessed Spirit Mountain is a good place to go.
","    Explore the challenges of mountains blessed the 11th floor to get the prestige and booty, to complete the task this series will have an extra surprise for you! This series of tasks daily at 1:30 update.",Tutor daily,7
58075,Training world,"    Soldiers who, fundamental foundation of a nation. Battle of soldier, invincible. No matter who is handsome and poor training are as diligent attempt to settle down for the country, it seems the wilderness outside the city can not meet the demand, and this time blessed Spirit Mountain is a good place to go.
","    Explore the challenges of mountains blessed the 12th floor to get the prestige and booty, to complete the task this series will have an extra surprise for you! This series of tasks daily at 1:30 update.",Tutor daily,7
70021,Give soldiers imperial guards,"    Heaven Jade Emperor see the world in troubled times, demons in power, the sufferings of the people, then shipped divine order was mortal soldiers scattered all kinds of wilderness, by virtue of tokens in exchange for soldiers and heaven help the High Priest, destroy the demon eliminating traitors, Wei Wei home Patriotic people .","    Please note that redeeming about your food production, because after the completion of conversion tasks, increase the number of soldiers will consume food, it may cause your food production is negative.",1000 imperial guards,6
10032,Tutor,"    Under party chaos today, princes and play. Cheng Tang is no way, after all, six hundred years Foundation, the strength of powerful; Zhou Ren Ming room, when interest should be shipped, but can not change is the princes started, strength weaker. The two sides battle eventually have accumulated external help. To prove his strength, his assistant, a party king will accomplish something brilliant.","     Obtained through official tribute treasures. Office reached Tutor, city (including sub-city do not include city) inner city building level cap increase 5.",Enhance office,1
80551,Wind and thunder came into the world,"Wind and thunder wings, travel the world, collect 150 gold fine props can be exchanged for congenital Zhen Zi exclusive mount, wind and thunder wings a task can be repetitive.","    Wind and thunder wings, travel the world, collect 150 gold congenital fine props can be exchanged for exclusive horse Zhen Zi.",Congenital fine gold 150,2
80552,Phoenix was born,"Beyond the pale in hunting, except Qingluan Phoenix wheel, collect 130 fine gold can be exchanged for congenital Rebels exclusive mount, a round Qingluan Phoenix, tasks can be repetitive.","    Beyond the pale in hunting, except Qingluan Phoenix wheel, collect 130 fine gold can be exchanged for congenital Rebels exclusive mount.",Congenital fine gold 130,2
85001,Five change Po 1,"    Assembly of a wood Ling Zhu, a gold Ling Zhu, a congenital wood alcohol, can be exchanged for wooden box 1 *","    Five assembly of a corresponding number of beads can be exchanged in Database destiny tasks, tasks can be repeated.","Assembly of a wood Ling Zhu, a gold Ling Zhu, a congenital wood alcohol",6
85002,Five change Po 2,"    Assembly of three wood Lingzhu 3 Lingzhu soil, water Lingzhu 3, a congenital Polishing can be exchanged copper box 1 *","    Five assembly of a corresponding number of beads can be exchanged in Database destiny tasks, tasks can be repeated.","Collect three wood Ling Zhu, three soil Ling Zhu, three water Ling Zhu, a congenital Undine",6
85003,Five change Po 3,"    Collect five soil Ling Zhu, five water Ling Zhu, five gold youngsters, two congenital fire refined, can be exchanged for iron box * 1","    Five assembly of a corresponding number of beads can be exchanged in Database destiny tasks, tasks can be repeated.","Collect five soil Ling Zhu, five water Ling Zhu, five gold youngsters, two fine innate fire",6
85004,Five change Po 4,"    Assembly of eight youngsters soil, water Ling Zhu eight, eight gold Ling Zhu, a congenital wood alcohol, a congenital Polishing, can be exchanged for silver box 1 *","    Five assembly of a corresponding number of beads can be exchanged in Database destiny tasks, tasks can be repeated.","Assembly of eight youngsters soil, water Ling Zhu eight, eight gold Ling Zhu, a congenital wood alcohol, a congenital Undine",6
85005,Five change Po 5,"    Collect 12 soil Ling Zhu, 12 youngsters gold, three congenital wood alcohol, three water innate essence, three fire innate essence, can be exchanged for gold Box * 1","    Five assembly of a corresponding number of beads can be exchanged in Database destiny tasks, tasks can be repeated.","Collect 12 soil Ling Zhu, 12 youngsters gold, three congenital wood alcohol, three water innate essence, three fine innate fire",6
56054,Trinidad good news 1,"    Collect 10 Qianlichuanyin can redeem Kim * 5, more for much, and tasks can be repetitive.","   Collect 10 Qianlichuanyin can redeem Kim * 5, more for much, and tasks can be repetitive.",10 Qianlichuanyin,6
56055,Trinidad good news 2,"   Were collected 30 days apart residues can be exchanged Qianlichuanyin * page 1, more for much, and tasks can be repeated.","   Were collected 30 days apart residues can be exchanged Qianlichuanyin * page 1, more for much, and tasks can be repeated.",30 Qianlichuanyin,6
